arabizi_sentence,english_translation
Ken fi ktir screens w buttons bi cockpit.,There were a lot of screens and buttons in the cockpit.
Ne7na w sabe repair akalna sticks chocolat Lindt la l-pilots.,The repair boy and I ate the Lindt chocolate sticks meant for the pilots.
Ne7na fakkarna ino hayda shi mahdum bass bi ri7le ma fi sticks chocolat la l-pilots.,"We thought it was something cute, but on the flight there were no chocolate sticks for the pilots."
Ba3den re7na 3a cafeteria Fraport.,Then we went to the Fraport cafeteria.
"Hedye ktir ktir amazing, l-akel ken ktir mni7 w min kill ma7al w ken ktir rkhees, metel heaven akel.","It was very, very amazing, the food was really good and from every place and it was very cheap, like heavenly food."
"Lamma sabe l-warshe 2al ana: ""Julian bade ru7 3a l-tayyara"", w ana wefa2et.","When the workshop boy said to me: ""Julian, I want to go to the plane,"" I agreed."
Ba3den ana kenet 3a l-tayyara w shefet l-GPS communication module.,Then I was on the plane and I saw the GPS communication module.
Heyde kenet ktir cool experience.,It was a very cool experience.
Kill nes honik.,Everyone was there.
"Tayyarna, w akhadna video.","We flew it, and we took a video."
Ken kteer 7ilo.,It was very nice.
Nseet shu 3melna kamen.,I forgot what else we did.
Shi baddak tghayyro bi 7ayetak?,Something you want to change in your life?
Bade ghayyer wen beskun.,I want to change where I live.
Le2an sakanet bi america min tmen sneen w halla bheb ru7 3a alemanyia.,Because I've lived in America for eight years and now I want to go to Germany.
Julia w ana ra7 nru7 3a almania ba3ed sine.,Julia and I are going to go to Germany after a year.
"B7eb et3allam a3mol ski, le2an Seattle ktir shitte bi shitte w ma fi kteer activities.","I'd like to learn how to ski, because Seattle is very rainy in winter and there aren't many activities."
B7eb 3allem Julia tsoo2 3ade.,I'd like to teach Julia to drive a manual car.
Fa shabeb hon ma fiyun ysoo2o 3ade.,The guys here can't drive a manual car.
Bi almania fi daftar swe2a special la nes yalli ma fiyun ysoo2o 3ade.,In Germany there's a special driver's license for people who can't drive a manual car.
Lamma ken 3umre tna3esh ma3 3amo nabeel.,"When I was twelve, with uncle Nabeel."
3amo Nabeel sa2alne iza ana b7eb it3allam swe2a.,Uncle Nabeel asked me if I'd like to learn driving.
W ana 2eletelo eh.,And I told him yes.
Fa re7na se2na bi volvo khadra.,So we went and drove a green Volvo.
"Lama kinna 3am nsoo2, 3amo nabil sarrakh ""douberiag"", bas ana ken kteer aseer ta emsuk douberiag.","While we were driving, uncle Nabeel yelled ""clutch,"" but I was too short to reach the clutch."
Fa fetna bi sakhra kbire.,So we crashed into a big rock.
"Bi seif alfen w tminta3esh, Emil w Lulu w ana kinna bi chalet 3a l-ba7er.","In the summer of 2018, Emil, Lulu, and I were at a chalet by the sea."
Ken badna ndakhen argile.,We wanted to smoke hookah.
Fa talfena la delivery l-argile w ba3ed se3ten ma eja.,So we called for hookah delivery and after two hours it didn't come.
Fa talfena la deliver l-argile marra tene w 2alna ino 3emel 7adis 3a taree2.,So we called the hookah delivery a second time and he told us he had an accident on the way.
W 2alna ra7 tekhdo arguile jdeede free w hiyye 3a taree2 halla2.,And he told us we'd get a new hookah for free and it was on its way now.
Ba3den ne7na akhadna l-arguile barra 3a balcon.,Then we took the hookah outside on the balcony.
"W Luli Tabouli 7aka ""mamnu3 akhadna l-arguile, fa sacro l-beb"".","And Luli Tabouli said ""we're not allowed to take the hookah, so lock the door."""
"Fa Emil ken 3am sacer l-beb, bas l-beb 3alla2.","So Emil was locking the door, but the door got stuck."
"Le2an 3amo Basem mamnu3 akhadna l-arguile aw nishrab alcohol, 2arrar ino Emil 3arbash 3a 3 balcon ta yefta7 l-beb.","Because uncle Basem didn't allow us to take the hookah or drink alcohol, he decided that Emil would climb up three balconies to open the door."
"Lamma ne7na kinna tna3esh, shtrayna Axe Bodyspray w bonjus.","When we were twelve, we bought Axe Bodyspray and fireworks."
Ba3den re7na 3a haydak l-beit w na3mul 7aree2 ma3 gasoline w khashab zeitun.,Then we went to that house to make a fire with gasoline and olive wood.
Ba3den 3a sate7 7attayna axe bodyspray bi 7aree2 w natarna tleteen la7za w ba3den awasna bi barrude.,Then on the rooftop we put Axe bodyspray in the fire and waited thirty seconds and then shot at it with a gun.
Fa sar fi boule nar kbeere.,So there was a big ball of fire.
"Teta w Jiddo kenno 2a3deen 3a kirse 3a sibata, 3am yel3abo wara2.","Grandma and grandpa were sitting on chairs on the porch, playing cards."
W ma fara2et ma3un.,And they didn't care.
Bas cousin Elie eja w 3ayyat 3layna le2ano wa3ayna ibno.,But cousin Elie came and yelled at us because we woke up his son.
Bi ha sheri3 fi sikken.,On this street there are people living.
W fi 7arake tabi3iye.,And there is normal movement.
"W hon, bi aleb beito.","And here, inside his home."
W l-ma3lumet l-2awaliye bitsheer la sari2a.,And the preliminary information indicates a theft.
Ken deyman yusal 3a ma7alo la tislee7 l-2a7ziye se3a tes3a subu7.,He always used to arrive at his shoe repair shop at nine in the morning.
W lamma t2akhar 3an maw3ado l-mi3ted staf2adu l-muwazafeen ma3o.,"And when he was late beyond his usual time, the employees with him checked on him."
Ma radd 3a l-itisalet.,He didn't answer the calls.
Theme w khamsa w 3shreen d2i2a ekhir marra fata7 tetbee2 whatsApp.,Eight twenty-five was the last time he opened the WhatsApp application.
W hon weslo jiran l-shighil la hayda l-maken.,And here the work neighbors arrived at this place.
"Hayda l-madkhal la l-mabna, huwe la 7alo sekin fi.","This is the entrance to the building, he lives in it alone."
"Shefo ino l-3waynet, huwe bi7utt 3waynet, la2o ino 2elib la barra l-beit.",They saw the glasses—he wears glasses—they found them flipped over outside the house.
Feto shefo l-mifte7 men maylet barra.,Once they entered they saw the key from the outside.
Shu me3neta?,What is the meaning of it?
"Ma3neta Vatshe ken dahar, 3am ysakker l-beb, weslo 3le.","It means Vatche was going out, locking the door, and they came at him."
Nezlo 3le men fo2.,They came down on him from above.
Le2an l-beb l-7adeed ken m2affal.,Because the iron door was locked.
"Ni7na bi nhar, bi nuss jim3a, fi shighil, ma 7ada 7ass?","We're in the daytime, in the middle of the week, there's work—did nobody feel anything?"
Ma 7ada seme3?,Did nobody hear?
L-philippiniyet yalli bi l-mabna hon sem3o 7arta2a 3a se3a khamse illa rebe3.,The Filipinas in the building here heard a noise at quarter to five.
Ana metel ma B7allel.,As I analyze it.
Hole nataru ta yenzal 3a shighilo.,Those people waited for him to go down to his work.
Hinne bya3rfu w huwe bya3rifun.,They know him and he knows them.
Wen ma menru7.,Wherever we go.
Wen ma mneje.,Wherever we come.
L-2as3ar nar.,The prices are on fire.
La tebrum w la te7tar.,Don't go around in circles and don't be confused.
Arkhas l-2as3ar.,Cheaper prices.
Stanzro menna.,Expect something from us.
A7la 3rudat.,Best offers.
"Rfee2e ra7 3a Grenada bi Ispania, w ba3ed yomen huwwe ktashaf ino Grenada isma jeye men remayn.","My friend went to Granada in Spain, and after two days he found out that Granada's name comes from pomegranate."
"Lama lucas ken sgheer, huwe ken 3ando le3be zarafe esma Sophie.","When Lucas was little, he had a giraffe toy named Sophie."
Hiyye kenit kteer ne3me.,It was very soft.
Lucas ken y7eb y3adda.,Lucas used to like to bite it.
Sophie ken 3anda ri7a 7elwe.,Sophie had a beautiful smell.
"Lama Lucas ken sgheer, sophie kenit aktar le3be mashoora la l-bebe.","When Lucas was little, Sophie was the most popular toy for the baby."
7atta lyom ni7na 3inna sophie bi l-beit.,Until today we still have Sophie at home.
"Lama Dany ken sgheer, huwe ken y7eb kil shi ma3 dweleeb.","When Dany was little, he used to like everything with wheels."
"Huwe ken y7eb kteer siyyarat, bas 7atta lyom huwe b7eb aktar tiyyarat.","He used to like cars a lot, but until today he likes airplanes more."
Kil marra mnsefer huwe byijma3 tiyyarat.,Every time we travel he collects airplanes.
Huwe bye7ke 3an ino bado ya3mul tiyyarat bass yekbar.,He talks about how he wants to make airplanes once he grows up.
Ana bfakker huwe ra7 ykun 3azeem bi hayde shaghle le2ano huwe b7eb l-riyadiyet.,I think he will be great at this work because he likes math.
"Bi nafes l-wa2et, Lucas b7eb l-science bass huwe bfakker ya3mul siyese aw 72oo2.","At the same time, Lucas likes science but he is thinking of doing politics or law."
Ana bfakker huwe ra7 ykun 3azeem bi hayda l-majel le2ano huwe b7eb yjedil.,I think he will be great in this field because he likes to argue.
Shu ma hinne bina22o ana bade ino hinne ykuno tnaynun mabsooteen.,"No matter what they choose, I want both of them to be happy."
Halla2 hinne 3am yishteghlo ta ykhallso sine madrasiye.,Now they are working in order to finish the school year.
"Lucas 3ando fa7esen kbar, wa7ad khatte w wa7ad shafahe.","Lucas has two big exams, one written and one oral."
Dany akbar men lucas.,Dany is bigger than Lucas.
Dany akbar wa7ad bi saf.,Dany is the biggest one in the class.
Ana b7eb tesweer.,I like photography.
Khassatan tesweer njoom aw tsweer l-manazer tabi3iye.,Especially photographing stars or landscape photography.
B7eb sefer w etalla3 3a suwar w sefer fiya.,I like to travel and look at pictures and travel through them.
Lyom w jim3a jeye a7san wa2et ta nshoof w nsawer njoom.,Today and next Friday is the best time to see and photograph stars.
"Lyom, ba3ed shighel ra7 nru7 3a Rainer jabal w nkhayem w 3a se3a we7de ni7na ra7 netalla3 3a njoom w nekhud suwar.","Today, after work we will go to Rainer mountain and camp, and at one o'clock we will look at the stars and take pictures."
Julia w ana 3inna drone.,Julia and I have a drone.
Ni7na mn7eb ntayyer drone.,We like to fly the drone.
Bytayyer drone ino metel l-3asfoor.,The drone flies like a bird.
win rahwa? lifataatik almilyanat hubin waghayra,Where did they go? Your glances full of love and jealousy
shu all ghayruk walli kabrik ya saghiri,"What changed you and raised you, my little one?"
shu alli eallmuk ealbued wal'ahzan,What taught you about distance and sorrows?
ma artahuu euyuni 'ana min yawm sirt baeida,My eyes haven't rested since the day I became far
wala ead ghayruk 'iid tamasak aydi,And no hand other than yours holds my hand anymore
wala ead yadhkur hubana alnisyan,And forgetfulness no longer remembers our love
law fiy rajae bi'iidi aleumr linu mara,If only I could bring back time once more
watarjie 'iilaya biallayl hak alghamra,And you'd return to me at night that embrace
"sukar ealayk alwaqtu, ghil wanam","Time closed in on you, get lost and sleep"
law fiy radu alhaki waqt allly kunt taquli,If only I could bring back the words when you used to tell me
bihabik 'ana waeuyunuk yaghnuli,I love you and your eyes sing to me
'ahlaa qasidat warajae al'ayaam,The most beautiful poem and the days returned
"Bi ayyar, re7et 3a almanya le2an rif2ate ken 3andon bachelor party.","In May, I went to Germany because my friends had a bachelor party."
Ken 3ande tayara 3a almanya min america 3a nhar l-jim3a.,I had a flight to Germany from America on Friday.
W ken 3ashena 3end beit Timm w Carina.,And we had dinner at Timm and Carina's house.
Timm w Carina shtaro l-beit jdeed.,Timm and Carina bought the house recently.
W re7na shefna beitun.,And we went and saw their house.
Ba3den rif2at tenyeen ejo la 3andun.,Then other friends came to their place.
fi ken tawle bi l-jneyne w kenna 3am neshwe.,There was a table in the garden and we were grilling.
Kenna khamsta3eshar shakhes.,We were fifteen people.
Kennet 7eb e7ke ma3un le2an ma fiye e7ke ma3un bass kun bi america.,I wanted to talk to them because I can't talk to them when I'm in America.
Mama tab3ule 3emlet Frankfurt Green Sauce w halyun abyad.,My mom made Frankfurt Green Sauce and white asparagus.
Ra7 2e23ud 3a tawle w e7ke ma3 Felix aw sa7ebto.,I will sit at the table and talk with Felix or his girlfriend.
"Helene w Felix ra7o la 3andun min sitte shehur, fa ma ba3refun.","Helene and Felix went to their place six months ago, so I don't know them."
Ba3den kennet 3am e7ke ma3 Meike.,Then I was talking with Meike.
Hiyye kenet 3am teshteghl 3a Düsseldorf aw Munich aw Hamburg.,She was working in Düsseldorf or Munich or Hamburg.
Meike fiya ktir tshteghl fa ma 3anda wa2et te7ke 3a telephone.,Meike works a lot so she doesn't have time to talk on the phone.
"Ba3ed layle taweele 7keena fiya ktir, re7et 3a l-beit.","After a long night where we talked a lot, I went home."
Fa 2arrar yghayyer ikhtisaso,So he decided to change his major
Ra7 yelte7e2 bi l-ka3eeda bi l-3irak,He will join the base in Iraq
3ade w betseer,It's normal and could happen
Mish 3ade w ma btseer,Not normal and couldn't happen
Ma ba3ref kif w lesh taraku,I don't know how and why they left him
Bass taraku,Once they left him
2al l-julene,Julene told
Bta3rfo shu?,Do you know what?
7assess ino potential akbar bi kteer men ino kun bi l-ka3eeda,I feel that my potential is much bigger than being in the base
Shtaghal ta7et eed abu baker l-baghdadi,He worked under the hand of Abu Bakr al-Baghdadi
3am fakker ifta7 fare3 la da3esh bi suria,I'm thinking of opening a branch of ISIS in Syria
Shu ra2yak inta testelmo,What's your opinion about you being the boss of it?
Bas ba3es sinten men l-3amal ma3 da3esh,But after two years working with ISIS
7ass ino,He felt that
Reje3 3a l-ka3eeda,He returned to the base
W sar ka2ed la jabhat nusra,And he became a leader of the Nusra Front
2a3ad tlet sneen mabsut,He stayed three years happy
Ma 3ad bade eshteghel 3and 7ada,I no longer want to work at someone's place
Bade efta7,I want to open
Fa ballash bi jabhat ta7reer sham bi suriya,So he started with the Sham Liberation Front in Syria
"Ba3ed l-chedde, fi faraj","After hardship, there is relief"
Kill sene bi tamooz fi rukoob bicyclette min Seattle 3a Portland.,Every year in July there is a bicycle riding event from Seattle to Portland.
L-rukoob biballesh bi jem3at Washington 3a se3a sitte.,The ride starts at the University of Washington at six o'clock.
L-rukoob yomen w kill yom fi miyye w tmene w sab3een kilometre.,The ride is two days and each day is one hundred seventy-eight kilometers.
Awal yom min Seattle 3a Centralia w ktir 7elo.,The first day is from Seattle to Centralia and it's very nice.
Fiyo ktir shajar w fayy w kil nes byerkabo l-bicyclette 7add bu7ayret Washington.,There are a lot of trees and shade and everyone rides the bicycle next to Lake Washington.
Heyde sene kenet awal sene berkab min Seattle 3a Portland.,This year was the first year I rode from Seattle to Portland.
Yawme l-awal rkebet ktir mni7.,The first day I rode really well.
Ana kenet fresh w nasheet w rkebet bi sir3a w 2atta3et dawbalet kill nes.,I was fresh and energized and I rode quickly and passed everyone.
"Shway shway, ma3 nhar, sar shob yzeed aktar w aktar.","Little by little, as the day went on, the heat kept increasing more and more."
"Awal miyyet kilometre kenet mni7, bas ekhir tmeneen kilometre keno sa3been.","The first hundred kilometers were good, but the last eighty kilometers were hard."
Ana kenet te3ben.,I was tired.
Ma ken bade ekul ba3den.,I didn't want to eat afterwards.
Tneynun metel ba3ed,They are both the same
Fara2et metel mikhtelfe,They differed like they are different
Ana bi7kik lama bkun bi Sumal,I will talk to you when I am in Somalia
3ande su2al tene,I have another question
Ana ra7 kun bi sin bi teshreen,I will be in China in October
Ana kenet bi sin bi shbat,I was in China in February
Shu aktar shi bit7ibbo bi l-major tab3ulak aw bi jeme3tak?,What do you like most about your major or your university?
Ana b7eb l-traditons tab3ula.,I like its traditions.
"Kil masa jem3a, 2abel football amercene, ni7na mnroo7 3a l-mal3ab la nuss leil ta na3mul prova te7mees.","Every Friday evening, before American football, we go to the stadium until midnight to practice yelling."
Tene tradition bi jem3et Texas A&M bi sine telte kill nes bsherko Ring Ceremony w byekhdo khatem ma7foor esmun 3le.,Another tradition at Texas A&M is in the third year everyone participates in the Ring Ceremony and they take a ring engraved with their names.
Emme ra7et men almania 3a Texas la hayda l-yom.,My mom traveled from Germany to Texas for this day.
Ba3den kill ness 7a ykun ring dunk.,Afterwards everyone will have a ring dunk.
Kill nes fiya lezim ykebbo l-khatem w yel2atu bi temun w yeshrabo beera bi nafes l-wa2et.,Everyone in it has to throw the ring and catch it with their mouth and drink beer at the same time.
Jem3et Texas A&M fiya programme Engineering kteer mnee7.,Texas A&M has a very good engineering program.
Jem3et Texas A&M fiya mabna esmo Zachary Engineering Education Complex bas ni7na mnsammi Zachary.,Texas A&M has a building called Zachary Engineering Education Complex but we just call it Zachary.
W bi Zachary fiyo ghirfe ma3 Engineering equipments metel miyyet 3D printers w ghirfe tene fiya kil l-equipments ta na3mul kil shi khasso bi l-engineering projects.,And in Zachary there is a room with engineering equipment such as a hundred 3D printers and another room with all the equipment to do everything specific to engineering projects.
W kill tulab fiyun yesta3mluwa.,And all the students can use them.
W texas A&M fiya kteer masare w bteshtere kteer ishyia cool.,And Texas A&M has a lot of money and buys a lot of cool things.
Ya3ne my partner lab byeshtere robot batta.,"For example, my partner's lab buys a duck robot."
W ni7na mnesta3mlo ta yemshe bi 7a2el dura w bi2awess l-7asharat ma3 laser.,And we use it to walk in a corn field and shoot the insects with a laser.
2abel l-ghada beshrab may,Before lunch I drink water
Taleb raa7 3a l-jem3a,A student went to the university
L-walad 3am yel3ab bi l-mal3ab,The boy is playing in the stadium
"Lamma kenet bi Hauptschule, ne7na ken 3inna jem3a la project w nhar jem3a ne7na mn2addem project.","When I was in Hauptschule, we had a gathering for a project and on Friday we present the project."
Killian w ana ken badna na3mul berkan min japsin.,Killian and I were going to make a volcano out of plaster.
Awal shi killian w ana 3melna jabal min shabak w ba3den ne7na 7attayna shaysh 3a shabak w ba3den 7attayna l-japsin 3a shaysh.,"First thing, Killian and I made a mountain out of wire and then we put mesh on the wire and then we put the plaster on the mesh."
Ba3den mnuntur 7atta jabal l-japsin ta ynashshef.,Then we wait for the plaster mountain to dry.
Telet shi badna na3mul 7ufra bi ka3eb l-jabal ta n7utt l-2aneene.,"Third thing, we want to make a hole in the bottom of the mountain in order to put the bottle."
Ba3den mn7utt Fanta 7amra bi l-jabal w ba3den killian 7att menots bi l-fanta.,Then we put red Fanta in the mountain and then Killian put Mentos in the Fanta.
"Bi covid ma ken fiye etle2a ma3 ashabe, fa 2arraret e7tefel bi 3id miled la 7ale.","During Covid I couldn't meet with my friends, so I decided to celebrate my birthday by myself."
Awal shi bade a3mulo inno re7et 3a nede l-rimeye.,First thing I wanted to do was that I went to the shooting club.
"Ba3ed nede rimeye ana kenet ju3an, w jeye 3a bele steak, fa re7et 3a Texas Roadhouse ta ekul steak.","After the shooting club I was hungry, and I felt like having steak, so I went to Texas Roadhouse to eat steak."
Texas Roadhouse 3ando khebez ma3 zebde w 2irfe.,Texas Roadhouse has bread with butter and cinnamon.
heyda ktir addictive w unlimited w free.,This is very addictive and unlimited and free.
"Bi 2023 ana w Julia w Siri shefna ""Everything Everywhere All at Once"".","In 2023 Julia, Siri and I watched ""Everything Everywhere All at Once""."
Bi movie fi 3ayle siniyye 3andon maghsalle w heyde 3ayle 3andon mashaykil ma3 IRS.,In the movie there is a Chinese family that has a laundromat and this family has problems with the IRS.
IRS shayyako 3layun w ba3den wa7esh shreer hejam l-3ayle.,The IRS checked up on them and then an evil monster attacked the family.
Ba3den kill asabe3un t7awalo la hotdog.,Then all their fingers turned into hotdogs.
Bi l-ekhir l-wa7esh t7awal la benetun w IRS battalo yshayko 3layun.,In the end the monster turned into their daughter and the IRS stopped checking up on them.
l-movie ktir sayye2 le2an l-2issa mish mni7a w ma ba3ref.,The movie is very bad because the story is not good and I don't know.
Ana ma b7eb hayda l-movie.,I don't like this movie.
Bfakker ino l-movies l-frensewiyye kteer random w weird.,I think that French movies are very random and weird.
"Halla2 a7san ghiniye ele ""Alles oder Nix"" la SSIO.","Now my favorite song is ""Alles oder Nix"" by SSIO."
Lesh? Le2an fiya beats mni7a w kalemeta mni7a kamen.,Why? Because it has good beats and its lyrics are good too.
"Bas a7san ghiniye ele 3an 3atool hiyye ""Giro"" la ""Roy Bianco und die Abbrunzati Boys"".","But my all-time favorite song is ""Giro"" by ""Roy Bianco und die Abbrunzati Boys""."
l-ghiniye btekhdak 3a italia bi seif.,The song takes you to Italy in summer.
Lamma besma3a bseer bade ishrab Aperol Spritz bi Capri.,When I listen to it I feel like drinking an Aperol Spritz in Capri.
Bi 2023 Julia w ana re7na 3a l-urdun.,In 2023 Julia and I went to Jordan.
"Awal shi, bas wselna, trawa2na mana2eesh bi Lebanese Bakery bi 3amman.","First thing, as soon as we arrived, we had manakeesh for breakfast at the Lebanese Bakery in Amman."
Ba3den re7na 3a ma3bad romane la Hercules w 2al3et 3amman w ekhir shi re7na 3a masra7 romane.,Then we went to the Roman temple of Hercules and the Amman citadel and the last thing we went to was the Roman theater.
Tene yom re7na 3a l-ba7er l-mayyet w saba7na bi l-ba7er l-mayyet w ba3den 7atayna mile7 l-ba7er w teen 3layna.,The second day we went to the Dead Sea and swam in the Dead Sea and then we put sea salt and mud on our bodies.
l-masa akalna burgers mish taybeen bi l-hotel.,In the evening we ate burgers that weren't tasty at the hotel.
Telet yom re7tna 3a wede mujib w ba3den re7na 3a Mövenpick hotel bi wede mussa.,The third day we went to Wadi Mujib and then we went to the Mövenpick hotel in Wadi Musa.
Rabe yom zerna Petra ma3 daleel siye7e bas huwe ken mish mni7.,The fourth day we visited Petra with a tour guide but he was not good.
Ba3ed yom taweel ken 3andun bouza taba3un bi hotel mövenpick.,After a long day they had their own ice cream at the Mövenpick hotel.
Ekhir yom re7na wede rum ma7al julia proposal.,"The last day we went to Wadi Rum, the place of Julia's proposal."
Hon t3allamna ino kill jamal huwe jamal badawe.,Here we learned that all beauty is Bedouin beauty.
"Akid, re7le khassa kteer.","Definitely, a very special trip."
Sami akbar men Rami.,Sami is bigger than Rami.
Sami akbar walad bi saf.,Sami is the biggest kid in the class.
Da2et 2albe tersom albik,My heart got lost drawing your heart
Meshta2 la wejjik ye7mine men wejj l-kizbe,I miss your face to protect me from the face of lying
Marwan Khoury she3ire ktir.,Marwan Khoury is very poetic.
Ma fiye iktub metel heyde gheniye.,I can't write something similar to this song.
Fakker heyde l-benet ktir sgheere 3le.,He thought this girl was much younger than him.
Wen badna nru7,Where do we want to go
Atba2 khassa men seafood,Special dishes of seafood
Lama eja l-akel la 3anna,When the food came to us
Akalna,We ate
Awal shi eja la 3anna huwe samak taco,The first thing that came to us was fish taco
Ri7to besh3a,Its smell was disgusting
As7ab shighle kteer zenkheen.,The owners of the business are very unpleasant.
Ana ketib 2iSaS 7ilwe.,I am a writer of beautiful stories.
Huwwa 2are ktir mni7.,He is a very good reader.
Hiyye 3amle bi ma3mal kbiir.,She is a worker in a big factory.
al-walad le3ib shaaṭir.,The boy is a skilled player.
inta fehim kill shi?,Do you understand everything?
"Yara fey2a men subu7 bakeer, shefet shames tal3a men wara l-jabal, w 7asset bi-far7a kbire.","Yara wakes up early in the morning, she saw the sun rising from behind the mountain, and she felt a great happiness."
"Yara talibe jem3iyye, w dersa adab 3arabi, bas kamen she3ra w ketibet 2isas 2asira.","Yara is a university student, and she studies Arabic literature, but she is also a poet and a writer of short stories."
"l-yom ken yom khas, li2anno 3anda 2rayet she3er bi mat3am mashhoor bi noss Beirut.","Today was a special day, because she has a poetry reading at a famous restaurant in the middle of Beirut."
3afwan,Sorry / excuse me
Nhar l-khamees,Thursday
Kenna bi Chicago,We were in Chicago
Ta nelte2e w trawa2na,In order to meet and have breakfast
W traw2na 7add l-bu7ayara,And we had breakfast by the lake
Ta nekhud safine w na3mul tour,In order to take a boat and do a tour
W safine ra7et 3a kil beit,And the boat went to every house
Ba3ed tour re7na 3a Cloud Gate,After the tour we went to Cloud Gate
Shrebna cocktails,We drank cocktails
Re7na 3a giordanos east ta net3asha deep dish,We went to Giordano's East to have deep dish for dinner
Nhar l-jem3a,Friday
Ken 3inna welcome party le2an kil as7abe ejo la hon,We had a welcome party because all my friends came here
Ejo 3a Chicago,They came to Chicago
Ken fi tawshe,There was a hectic situation
Felix ken shbeen,Felix was the best man
"Sabet traw2na iHop, w ba3ed ma traw2ana, Felix w ana 7addarna 7alna","On Saturday we had breakfast at IHOP, and after we had breakfast, Felix and I got ready"
Min eja 3a l-3eres,Who came to the wedding
Miyyet shakhes eja 3a l-3eres,A hundred people came to the wedding
Khamse w 3shreen shakhes ejo men taraf Emm Julia,Twenty-five people came from Julia's mother's side
W khamse w 3shreen shakhes ejo men taraf Bayy Julia,And twenty-five people came from Julia's father's side
Nes l-ma3azeem men taraf ahel Julia,Half of the invited people were from Julia's family side
W sab3a w 3shreen ejo men almania,And twenty-seven came from Germany
A7san taree2a ta terte7 ba3ed yom taweel,The best way to relax after a long day
Ana 3ande kaza taree2a ta erte7 ba3ed yom taweel,I have several ways to relax after a long day
Awal taree2a hiyye ino ana w as7abe aw Julia mnru7 3a l-bike ride,The first way is that my friends or Julia and I go on a bike ride
Aw2at mnekul booza 3a bike ride aw mnishrab beera bi beergarden 7add l-bu7ayra union,Sometimes we eat ice cream on the bike ride or drink beer at the beer garden by Union Lake
Tene taree2a hiyye ino ana w Julia mnekul sushi lama ne7dar television,The second way is that Julia and I eat sushi while we watch television
Shu aham shi mndebbo la safar,What is the most important thing we pack for a trip
"Lamma ykun 3ande safar, awal shi bdebbo underwear","When I have a trip, the first thing I pack is underwear"
"Ba3ed ma bdebb l-underwear, bdebb kalset w t-shirts","After I pack the underwear, I pack socks and t-shirts"
Abadan ma bdebb pants le2an ma belbus pants,I never pack pants because I don't wear pants
Ekhir shi ana bdebb fersheyet snene w ma3joon snen w ghasool jesem w zeit la da2en w fersheyet da2en w deodorant w parfun,The last thing I pack is a toothbrush and toothpaste and body wash and beard oil and a beard brush and deodorant and perfume
"As7abe da77ako 3laye le2an hinne bfakkero 3ande tlete bi wa7ad ghasool jesem, bas ma 3ande","My friends laughed at me because they think I have three-in-one body wash, but I don't"
A7yenan bdebb laptop iza safar taweel,Sometimes I pack a laptop if it's a long trip
Btaffiya ma3 toom,We turn it off with garlic (to reduce the taste)
Ekhir sine Julia w Andrew w ana kenna bi buheira 3a paddle board 7kena 3an heyda topic,Last year Julia and Andrew and I were on the lake on a paddle board and we talked about this topic
Andrew w Julia 2alo ino hinne byeklo akel hinde,Andrew and Julia said that they eat Indian food
"Ana 2elet ino bekul akel almane, le2an akel almane ktir mnawwa3","I said that I eat German food, because German food is very diverse"
Ya3ne subu7 mnekul khebez ma3 charcuterie w confiture d'oranges,"For example, in the morning we eat bread with cut meats and orange jam"
Arba3a talef w khams miyye w sitte w tleteen,Four thousand five hundred and thirty-six
Shu l-mahara l-mufide yalli ma bit3allima l-madrase w leish?,What is the useful skill that school doesn't teach and why?
Awal mahara mufide yalli ma bit3allima l-madrase hiyye empathy.,The first useful skill that you don't learn at school is empathy.
Bi l-masee7iyye mnt3allam nkun muta3atifeen bass ktir ru2asa ma 3andun ta3atuf.,In Christianity we learn to be empathetic but many leaders have no empathy.
Ente ma fike tkune sympathetic bedoon ma tkune muta3atife.,You can't be sympathetic without being empathetic.
"Bi america, shwayet shabeb be2oolo shwayet nes ma 3andun deen bas byetsarrafo metel middayneen w shwayet nes middayneen bas ma byetsarrafo metel middayneen.","In America, some young people say some people have no religion but behave like religious people, and some people are religious but don't behave like religious people."
Bi almania ni7na mnet3allam bi l-madrase deen bas hayde mish ya3ne ino t3allamna ta3atuf aw ra7me.,In Germany we learn religion at school but that doesn't mean we learned empathy or compassion.
Iza enta estez kif bta3te l-course?,"If you are a teacher, how do you give the course?"
Ana elet enne mareed.,I said that I'm sick.
Mbere7 ana w Julia 7kina 3an ra7me w ta3atuf w kif bit3allemun l-madrase.,Yesterday Julia and I talked about compassion and empathy and how they teach them at school.
Julia 2alet ino ra7 tes2al l-wled y2oolo 3an kif nes b7esso bi l-movies.,Julia said she would ask the children to talk about how people feel in movies.
Ana 2elet ino mnru7 3a seid w 2awes 3a ghazel bas ana ra7 ejra7 l-ghazel. W l-wled ra7 ye2tlo l-ghazel ta yit3allamo ta3atuf w ra7me.,I said that we would go hunting and I would aim at a gazelle but I would wound the gazelle. And the children would kill the gazelle to learn empathy and compassion.
ana akhadet rebe3 se3a ta usal 3a Zalka.,I took a quarter of an hour to arrive at Zalka.
Shu ahamm: hiweye aw kteer shighil?,What is more important: talent or a lot of work?
Ahamm shi huwe l-7azz.,The most important thing is luck.
"Ya3ne, nes nej7een ken 3andun 7azz.","I mean, successful people had luck."
"Tab3an inta lezim tishtighil kteer, bas bedoon l-7azz inta ra7 tishtighil la 7ad l-mot.","Of course you have to work a lot, but without luck you will work until death."
